序号,来源Sheet,单元格地址,公式内容,当前计算值,值类型
14826,Analysis,J145,"=IF($J$129=""NA"","" "",IF(K112<0,360+K112,IF(K112>360,K112-360,K112)))",117.24081082767728,数值
14827,Analysis,K145,"=IF($K$129=""NA"","" "",IF(L112<0,360+L112,IF(L112>360,L112-360,L112)))", ,文本
14828,Analysis,L145,"=IF($L$129=""NA"","" "",IF(M112<0,360+M112,IF(M112>360,M112-360,M112)))", ,文本
14829,Analysis,M145,"=IF($M$129=""NA"","" "",IF(N112<0,360+N112,IF(N112>360,N112-360,N112)))", ,文本
14830,Analysis,N145,"=IF($N$129=""NA"","" "",IF(O112<0,360+O112,IF(O112>360,O112-360,O112)))", ,文本
14831,Analysis,O145,"=IF($O$129=""NA"","" "",IF(P112<0,360+P112,IF(O112>360,O112-360,P112)))", ,文本
14832,Analysis,AB145,=6*AH145/60,187.8,数值
14833,Analysis,AC145,=4*AH145/60,125.2,数值
14834,Analysis,AD145,=3*AH145/60,93.9,数值
14835,Analysis,AE145,=2*AH145/60,62.6,数值
14836,Analysis,AG145,=R80,20.0,数值
14837,Analysis,AH145,=S80,1878.0,数值
14838,Analysis,AI145,=T80,12.684808657399508,数值
14839,Analysis,AJ145,"=(AI9*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$133^2)))^(0.5)",206.53533777065297,数值
14840,Analysis,AK145,"=IF($AK$139=""NA"","" "",(AJ9*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$134^2)))^(0.5))",493.8560059121898,数值
14841,Analysis,AL145,"=IF($AL$139=""NA"","" "",(AK9*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$135^2)))^(0.5))",735.4378663904843,数值
14842,Analysis,AM145,"=IF($AM$139=""NA"","" "",(AL9*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$136^2)))^(0.5))",238.4062992412514,数值
14843,Analysis,AN145,"=IF($AN$139=""NA"","" "",(AM9*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$137^2)))^(0.5))",214.06954144331766,数值
14844,Analysis,AO145,"=IF($AO$139=""NA"","" "",(AN9*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$138^2)))^(0.5))", ,文本
14845,Analysis,AP145,"=IF($AP$139=""NA"","" "",(AO9*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$139^2)))^(0.5))", ,文本
14846,Analysis,AQ145,"=IF($AQ$139=""NA"","" "",(AP9*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$140^2)))^(0.5))", ,文本
14847,Analysis,AR145,"=IF($AR$139=""NA"","" "",(AQ9*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$141^2)))^(0.5))", ,文本
14848,Analysis,AS145,"=IF($AS$139=""NA"","" "",(AR9*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$142^2)))^(0.5))", ,文本
14849,Analysis,F146,"=IF(G113<0,360+G113,IF(G113>360,G113-360,G113))",346.3438921607834,数值
14850,Analysis,G146,"=IF($G$129=""NA"","" "",IF(H113<0,360+H113,IF(H113>360,H113-360,H113)))",142.939192277313,数值
14851,Analysis,H146,"=IF($H$129=""NA"","" "",IF(I113<0,360+I113,IF(I113>360,I113-360,I113)))",339.10736332967235,数值
14852,Analysis,I146,"=IF($I$129=""NA"","" "",IF(J113<0,360+J113,IF(J113>360,J113-360,J113)))",237.58113307000568,数值
14853,Analysis,J146,"=IF($J$129=""NA"","" "",IF(K113<0,360+K113,IF(K113>360,K113-360,K113)))",117.24081082767728,数值
14854,Analysis,K146,"=IF($K$129=""NA"","" "",IF(L113<0,360+L113,IF(L113>360,L113-360,L113)))", ,文本
14855,Analysis,L146,"=IF($L$129=""NA"","" "",IF(M113<0,360+M113,IF(M113>360,M113-360,M113)))", ,文本
14856,Analysis,M146,"=IF($M$129=""NA"","" "",IF(N113<0,360+N113,IF(N113>360,N113-360,N113)))", ,文本
14857,Analysis,N146,"=IF($N$129=""NA"","" "",IF(O113<0,360+O113,IF(O113>360,O113-360,O113)))", ,文本
14858,Analysis,O146,"=IF($O$129=""NA"","" "",IF(P113<0,360+P113,IF(O113>360,O113-360,P113)))", ,文本
14859,Analysis,AB146,=6*AH146/60,190.0,数值
14860,Analysis,AC146,=4*AH146/60,126.66666666666667,数值
14861,Analysis,AD146,=3*AH146/60,95.0,数值
14862,Analysis,AE146,=2*AH146/60,63.333333333333336,数值
14863,Analysis,AG146,=R81,13.0,数值
14864,Analysis,AH146,=S81,1900.0,数值
14865,Analysis,AI146,=T81,12.833405989914304,数值
14866,Analysis,AJ146,"=(AI10*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$133^2)))^(0.5)",209.5101532964848,数值
14867,Analysis,AK146,"=IF($AK$139=""NA"","" "",(AJ10*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$134^2)))^(0.5))",501.6462048609131,数值
14868,Analysis,AL146,"=IF($AL$139=""NA"","" "",(AK10*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$135^2)))^(0.5))",747.0388335246678,数值
14869,Analysis,AM146,"=IF($AM$139=""NA"","" "",(AL10*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$136^2)))^(0.5))",238.4062992412514,数值
14870,Analysis,AN146,"=IF($AN$139=""NA"","" "",(AM10*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$137^2)))^(0.5))",214.06954144331766,数值
14871,Analysis,AO146,"=IF($AO$139=""NA"","" "",(AN10*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$138^2)))^(0.5))", ,文本
14872,Analysis,AP146,"=IF($AP$139=""NA"","" "",(AO10*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$139^2)))^(0.5))", ,文本
14873,Analysis,AQ146,"=IF($AQ$139=""NA"","" "",(AP10*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$140^2)))^(0.5))", ,文本
14874,Analysis,AR146,"=IF($AR$139=""NA"","" "",(AQ10*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$141^2)))^(0.5))", ,文本
14875,Analysis,AS146,"=IF($AS$139=""NA"","" "",(AR10*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$142^2)))^(0.5))", ,文本
14876,Analysis,AB147,=6*AH147/60,200.0,数值
14877,Analysis,AC147,=4*AH147/60,133.33333333333334,数值
14878,Analysis,AD147,=3*AH147/60,100.0,数值
14879,Analysis,AE147,=2*AH147/60,66.66666666666667,数值
14880,Analysis,AG147,=R82,3.0,数值
14881,Analysis,AH147,=S82,2000.0,数值
14882,Analysis,AI147,=T82,13.508848410436109,数值
14883,Analysis,AJ147,"=(AI11*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$133^2)))^(0.5)",208.42368789918106,数值
14884,Analysis,AK147,"=IF($AK$139=""NA"","" "",(AJ11*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$134^2)))^(0.5))",499.95119048445514,数值
14885,Analysis,AL147,"=IF($AL$139=""NA"","" "",(AK11*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$135^2)))^(0.5))",744.5146610096025,数值
14886,Analysis,AM147,"=IF($AM$139=""NA"","" "",(AL11*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$136^2)))^(0.5))",238.4062992412514,数值
14887,Analysis,AN147,"=IF($AN$139=""NA"","" "",(AM11*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$137^2)))^(0.5))",214.06954144331766,数值
14888,Analysis,AO147,"=IF($AO$139=""NA"","" "",(AN11*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$138^2)))^(0.5))", ,文本
14889,Analysis,AP147,"=IF($AP$139=""NA"","" "",(AO11*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$139^2)))^(0.5))", ,文本
14890,Analysis,AQ147,"=IF($AQ$139=""NA"","" "",(AP11*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$140^2)))^(0.5))", ,文本
14891,Analysis,AR147,"=IF($AR$139=""NA"","" "",(AQ11*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$141^2)))^(0.5))", ,文本
14892,Analysis,AS147,"=IF($AS$139=""NA"","" "",(AR11*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$142^2)))^(0.5))", ,文本
14893,Analysis,AB148,=6*AH148/60,223.1,数值
14894,Analysis,AC148,=4*AH148/60,148.73333333333332,数值
14895,Analysis,AD148,=3*AH148/60,111.55,数值
14896,Analysis,AE148,=2*AH148/60,74.36666666666666,数值
14897,Analysis,AG148,=R83,2.0,数值
14898,Analysis,AH148,=S83,2231.0,数值
14899,Analysis,AI148,=T83,15.06912040184148,数值
14900,Analysis,AJ148,"=(AI12*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$133^2)))^(0.5)",203.44348311941724,数值
14901,Analysis,AK148,"=IF($AK$139=""NA"","" "",(AJ12*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$134^2)))^(0.5))",493.4453187495103,数值
14902,Analysis,AL148,"=IF($AL$139=""NA"","" "",(AK12*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$135^2)))^(0.5))",734.8262814607493,数值
14903,Analysis,AM148,"=IF($AM$139=""NA"","" "",(AL12*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$136^2)))^(0.5))",238.4062992412514,数值
14904,Analysis,AN148,"=IF($AN$139=""NA"","" "",(AM12*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$137^2)))^(0.5))",214.06954144331766,数值
14905,Analysis,AO148,"=IF($AO$139=""NA"","" "",(AN12*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$138^2)))^(0.5))", ,文本
14906,Analysis,AP148,"=IF($AP$139=""NA"","" "",(AO12*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$139^2)))^(0.5))", ,文本
14907,Analysis,AQ148,"=IF($AQ$139=""NA"","" "",(AP12*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$140^2)))^(0.5))", ,文本
14908,Analysis,AR148,"=IF($AR$139=""NA"","" "",(AQ12*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$141^2)))^(0.5))", ,文本
14909,Analysis,AS148,"=IF($AS$139=""NA"","" "",(AR12*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$142^2)))^(0.5))", ,文本
14910,Analysis,AB149,=6*AH149/60,246.5,数值
14911,Analysis,AC149,=4*AH149/60,164.33333333333334,数值
14912,Analysis,AD149,=3*AH149/60,123.25,数值
14913,Analysis,AE149,=2*AH149/60,82.16666666666667,数值
14914,Analysis,AG149,=R84,2.0,数值
14915,Analysis,AH149,=S84,2465.0,数值
14916,Analysis,AI149,=T84,16.649655665862507,数值
14917,Analysis,AJ149,"=(AI13*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$133^2)))^(0.5)",200.23235202123612,数值
14918,Analysis,AK149,"=IF($AK$139=""NA"","" "",(AJ13*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$134^2)))^(0.5))",486.1724771779274,数值
14919,Analysis,AL149,"=IF($AL$139=""NA"","" "",(AK13*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$135^2)))^(0.5))",723.9957498402592,数值
14920,Analysis,AM149,"=IF($AM$139=""NA"","" "",(AL13*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$136^2)))^(0.5))",238.4062992412514,数值
14921,Analysis,AN149,"=IF($AN$139=""NA"","" "",(AM13*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$137^2)))^(0.5))",214.06954144331766,数值
14922,Analysis,AO149,"=IF($AO$139=""NA"","" "",(AN13*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$138^2)))^(0.5))", ,文本
14923,Analysis,AP149,"=IF($AP$139=""NA"","" "",(AO13*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$139^2)))^(0.5))", ,文本
14924,Analysis,AQ149,"=IF($AQ$139=""NA"","" "",(AP13*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$140^2)))^(0.5))", ,文本
14925,Analysis,AR149,"=IF($AR$139=""NA"","" "",(AQ13*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$141^2)))^(0.5))", ,文本
14926,Analysis,AS149,"=IF($AS$139=""NA"","" "",(AR13*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$142^2)))^(0.5))", ,文本
14927,Analysis,AB150,=6*AH150/60,260.0,数值
14928,Analysis,AC150,=4*AH150/60,173.33333333333334,数值
14929,Analysis,AD150,=3*AH150/60,130.0,数值
14930,Analysis,AE150,=2*AH150/60,86.66666666666667,数值
14931,Analysis,AG150,=R85,2.0,数值
14932,Analysis,AH150,=S85,2600.0,数值
14933,Analysis,AI150,=T85,17.561502933566942,数值
14934,Analysis,AJ150,"=(AI14*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$133^2)))^(0.5)",198.40306787189195,数值
14935,Analysis,AK150,"=IF($AK$139=""NA"","" "",(AJ14*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$134^2)))^(0.5))",482.26775864146265,数值
14936,Analysis,AL150,"=IF($AL$139=""NA"","" "",(AK14*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$135^2)))^(0.5))",718.1809418093053,数值
14937,Analysis,AM150,"=IF($AM$139=""NA"","" "",(AL14*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$136^2)))^(0.5))",238.4062992412514,数值
14938,Analysis,AN150,"=IF($AN$139=""NA"","" "",(AM14*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$137^2)))^(0.5))",214.06954144331766,数值
14939,Analysis,AO150,"=IF($AO$139=""NA"","" "",(AN14*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$138^2)))^(0.5))", ,文本
14940,Analysis,AP150,"=IF($AP$139=""NA"","" "",(AO14*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$139^2)))^(0.5))", ,文本
14941,Analysis,AQ150,"=IF($AQ$139=""NA"","" "",(AP14*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$140^2)))^(0.5))", ,文本
14942,Analysis,AR150,"=IF($AR$139=""NA"","" "",(AQ14*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$141^2)))^(0.5))", ,文本
14943,Analysis,AS150,"=IF($AS$139=""NA"","" "",(AR14*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$142^2)))^(0.5))", ,文本
14944,Analysis,AB151,=6*AH151/60,270.0,数值
14945,Analysis,AC151,=4*AH151/60,180.0,数值
14946,Analysis,AD151,=3*AH151/60,135.0,数值
14947,Analysis,AE151,=2*AH151/60,90.0,数值
14948,Analysis,AG151,=R86,1.0,数值
14949,Analysis,AH151,=S86,2700.0,数值
14950,Analysis,AI151,=T86,18.23694535408875,数值
14951,Analysis,AJ151,"=(AI15*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$133^2)))^(0.5)",197.97786090811533,数值
14952,Analysis,AK151,"=IF($AK$139=""NA"","" "",(AJ15*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$134^2)))^(0.5))",480.0394460979508,数值
14953,Analysis,AL151,"=IF($AL$139=""NA"","" "",(AK15*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$135^2)))^(0.5))",714.8625951596082,数值
14954,Analysis,AM151,"=IF($AM$139=""NA"","" "",(AL15*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$136^2)))^(0.5))",238.4062992412514,数值
14955,Analysis,AN151,"=IF($AN$139=""NA"","" "",(AM15*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$137^2)))^(0.5))",214.06954144331766,数值
14956,Analysis,AO151,"=IF($AO$139=""NA"","" "",(AN15*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$138^2)))^(0.5))", ,文本
14957,Analysis,AP151,"=IF($AP$139=""NA"","" "",(AO15*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$139^2)))^(0.5))", ,文本
14958,Analysis,AQ151,"=IF($AQ$139=""NA"","" "",(AP15*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$140^2)))^(0.5))", ,文本
14959,Analysis,AR151,"=IF($AR$139=""NA"","" "",(AQ15*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$141^2)))^(0.5))", ,文本
14960,Analysis,AS151,"=IF($AS$139=""NA"","" "",(AR15*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$142^2)))^(0.5))", ,文本
14961,Analysis,AB152,=6*AH152/60,300.0,数值
14962,Analysis,AC152,=4*AH152/60,200.0,数值
14963,Analysis,AD152,=3*AH152/60,150.0,数值
14964,Analysis,AE152,=2*AH152/60,100.0,数值
14965,Analysis,AG152,=R87,1.0,数值
14966,Analysis,AH152,=S87,3000.0,数值
14967,Analysis,AI152,=T87,20.263272615654166,数值
14968,Analysis,AJ152,"=(AI16*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$133^2)))^(0.5)",193.5003269377288,数值
14969,Analysis,AK152,"=IF($AK$139=""NA"","" "",(AJ16*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$134^2)))^(0.5))",472.6827717961513,数值
14970,Analysis,AL152,"=IF($AL$139=""NA"","" "",(AK16*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$135^2)))^(0.5))",703.9072219587664,数值
14971,Analysis,AM152,"=IF($AM$139=""NA"","" "",(AL16*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$136^2)))^(0.5))",238.4062992412514,数值
14972,Analysis,AN152,"=IF($AN$139=""NA"","" "",(AM16*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$137^2)))^(0.5))",214.06954144331766,数值
14973,Analysis,AO152,"=IF($AO$139=""NA"","" "",(AN16*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$138^2)))^(0.5))", ,文本
14974,Analysis,AP152,"=IF($AP$139=""NA"","" "",(AO16*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$139^2)))^(0.5))", ,文本
14975,Analysis,AQ152,"=IF($AQ$139=""NA"","" "",(AP16*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$140^2)))^(0.5))", ,文本
14976,Analysis,AR152,"=IF($AR$139=""NA"","" "",(AQ16*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$141^2)))^(0.5))", ,文本
14977,Analysis,AS152,"=IF($AS$139=""NA"","" "",(AR16*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$142^2)))^(0.5))", ,文本
14978,Analysis,AB153,=6*AH153/60,310.0,数值
14979,Analysis,AC153,=4*AH153/60,206.66666666666666,数值
14980,Analysis,AD153,=3*AH153/60,155.0,数值
14981,Analysis,AE153,=2*AH153/60,103.33333333333333,数值
14982,Analysis,AG153,=R88,1.0,数值
14983,Analysis,AH153,=S88,3100.0,数值
14984,Analysis,AI153,=T88,20.93871503617597,数值
14985,Analysis,AJ153,"=(AI17*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$133^2)))^(0.5)",193.28104115327622,数值
14986,Analysis,AK153,"=IF($AK$139=""NA"","" "",(AJ17*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$134^2)))^(0.5))",472.4870558987343,数值
14987,Analysis,AL153,"=IF($AL$139=""NA"","" "",(AK17*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$135^2)))^(0.5))",703.6157667971568,数值
14988,Analysis,AM153,"=IF($AM$139=""NA"","" "",(AL17*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$136^2)))^(0.5))",238.4062992412514,数值
14989,Analysis,AN153,"=IF($AN$139=""NA"","" "",(AM17*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$137^2)))^(0.5))",214.06954144331766,数值
14990,Analysis,AO153,"=IF($AO$139=""NA"","" "",(AN17*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$138^2)))^(0.5))", ,文本
14991,Analysis,AP153,"=IF($AP$139=""NA"","" "",(AO17*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$139^2)))^(0.5))", ,文本
14992,Analysis,AQ153,"=IF($AQ$139=""NA"","" "",(AP17*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$140^2)))^(0.5))", ,文本
14993,Analysis,AR153,"=IF($AR$139=""NA"","" "",(AQ17*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$141^2)))^(0.5))", ,文本
14994,Analysis,AS153,"=IF($AS$139=""NA"","" "",(AR17*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$142^2)))^(0.5))", ,文本
14995,Analysis,AB154,=6*AH154/60,320.0,数值
14996,Analysis,AC154,=4*AH154/60,213.33333333333334,数值
14997,Analysis,AD154,=3*AH154/60,160.0,数值
14998,Analysis,AE154,=2*AH154/60,106.66666666666667,数值
14999,Analysis,AG154,=R89,1.0,数值
15000,Analysis,AH154,=S89,3200.0,数值
15001,Analysis,AI154,=T89,21.614157456697775,数值
15002,Analysis,AJ154,"=(AI18*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$133^2)))^(0.5)",193.0752345384127,数值
15003,Analysis,AK154,"=IF($AK$139=""NA"","" "",(AJ18*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$134^2)))^(0.5))",472.3034985879099,数值
15004,Analysis,AL154,"=IF($AL$139=""NA"","" "",(AK18*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$135^2)))^(0.5))",703.3424178950133,数值
15005,Analysis,AM154,"=IF($AM$139=""NA"","" "",(AL18*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$136^2)))^(0.5))",238.4062992412514,数值
15006,Analysis,AN154,"=IF($AN$139=""NA"","" "",(AM18*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$137^2)))^(0.5))",214.06954144331766,数值
15007,Analysis,AO154,"=IF($AO$139=""NA"","" "",(AN18*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$138^2)))^(0.5))", ,文本
15008,Analysis,AP154,"=IF($AP$139=""NA"","" "",(AO18*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$139^2)))^(0.5))", ,文本
15009,Analysis,AQ154,"=IF($AQ$139=""NA"","" "",(AP18*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$140^2)))^(0.5))", ,文本
15010,Analysis,AR154,"=IF($AR$139=""NA"","" "",(AQ18*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$141^2)))^(0.5))", ,文本
15011,Analysis,AS154,"=IF($AS$139=""NA"","" "",(AR18*(10^9)/(4*(IF(报告页!$Y$294=""EPDM"",""15"",""18""))*报告页!$J$37*(报告页!$F$142^2)))^(0.5))", ,文本
